Företagsnamn,Organisationsnummer,Adress,Ort,Telefonnummer,Operatör,Styrelse
Westjan AB,556490-3465,HOVSGATAN 50,871 60 Härnösand,070-224 34 64,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-224 34 64 Westjan AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-323 80 90 Westjan AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Westjan AB
 +4670224346400467022434640702243464+46 702243464tlf 702243464+46 70 224 34 64+4670 224 34 64070-224 34 64070-2243464+4670323809000467032380900703238090+46 703238090tlf 703238090+46 70 323 80 90+4670 323 80 90070-323 80 90070-3238090","Bolagsinformation
 Org.nummer: 556490-3465
 Styrelseledamot: Jan Westerlund
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
LOGEX Healthcare Analytics AB,556490-5312,SJÖGATAN 11,891 60 Örnsköldsvik,070-698 25 07,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-652 14 58 Logex Healthcare Analytics AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-260 06 89 Logex Healthcare Analytics AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 076-762 70 55 Logex Healthcare Analytics AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 08-622 25 00 Logex Healthcare Analytics AB TeliaSonera AB (fix) Kontakta oss! Kontakta oss! Fast
 0660-798 88 Logex Healthcare Analytics AB TeliaSonera AB (fix) Kontakta oss! Kontakta oss! Fast
 0660-798 70 Logex Healthcare Analytics AB TeliaSonera AB (fix) Kontakta oss! Kontakta oss! Fast
 072-235 16 52 Logex Healthcare Analytics AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-698 25 04 Logex Healthcare Analytics AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-698 25 07 Logex Healthcare Analytics AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-584 11 21 Logex Healthcare Analytics AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 Föregående Sida 1 av 3 Nästa
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till LOGEX Healthcare Analytics AB
 +4670652145800467065214580706521458+46 706521458tlf 706521458+46 70 652 14 58+4670 652 14 58070-652 14 58070-6521458+4670260068900467026006890702600689+46 702600689tlf 702600689+46 70 260 06 89+4670 260 06 89070-260 06 89070-2600689+4676762705500467676270550767627055+46 767627055tlf 767627055+46 76 762 70 55+4676 762 70 55076-762 70 55076-7627055","Bolagsinformation
 Org.nummer: 556490-5312
 Styrelseledamot: Flach, Philipp Jan
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Stenstans Bageri & Konditori AB,556490-5767,TRÄDGÅRDSGATAN 22,852 31 Sundsvall,070-601 71 26,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-601 71 26 Stenstans Bageri & Konditori AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Stenstans Bageri & Konditori AB
 +4670601712600467060171260706017126+46 706017126tlf 706017126+46 70 601 71 26+4670 601 71 26070-601 71 26070-6017126","Bolagsinformation
 Org.nummer: 556490-5767
 Styrelseledamot: Bergafors, Ida Marita
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Vladismir Aktiebolag,556492-2473,SÖDRA ALLÉN 15,852 40 Sundsvall,070-604 11 94,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-604 11 94 Vladismir AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Vladismir Aktiebolag
 +4670604119400467060411940706041194+46 706041194tlf 706041194+46 70 604 11 94+4670 604 11 94070-604 11 94070-6041194","Bolagsinformation
 Org.nummer: 556492-2473
 Styrelseledamot: Vladimir Smirnov
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Proffex Consult Aktiebolag,556492-5666,SVANVÄGEN 66,891 40 Örnsköldsvik,070-534 59 59,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-534 59 59 Proffex Consult AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Proffex Consult Aktiebolag
 +4670534595900467053459590705345959+46 705345959tlf 705345959+46 70 534 59 59+4670 534 59 59070-534 59 59070-5345959","Bolagsinformation
 Org.nummer: 556492-5666
 Styrelseledamot: Ulf Peder Nordin
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
P Söderkvist Travrestauranger Aktiebolag,556494-0780,ÅSGATAN 3 A,872 35 Kramfors,073-061 43 93,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 073-061 43 93 P Söderkvist Travrestauranger AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till P Söderkvist Travrestauranger Aktiebolag
 +4673061439300467306143930730614393+46 730614393tlf 730614393+46 73 061 43 93+4673 061 43 93073-061 43 93073-0614393","Bolagsinformation
 Org.nummer: 556494-0780
 Styrelseledamot: Peter Söderkvist
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Nils Nilsson i Sundsvall AB,556495-5127,BOX 9006,850 09 Sundsvall,070-521 89 11,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-521 89 11 - Telia Sverige AB Kontakta oss! Kontakta oss! 
 070-310 13 71 Nils Nilsson i Sundsvall AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-256 70 75 Nils Nilsson i Sundsvall AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-257 82 32 Nils Nilsson i Sundsvall AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Nils Nilsson i Sundsvall AB
 +4670521891100467052189110705218911+46 705218911tlf 705218911+46 70 521 89 11+4670 521 89 11070-521 89 11070-5218911+4670310137100467031013710703101371+46 703101371tlf 703101371+46 70 310 13 71+4670 310 13 71070-310 13 71070-3101371+4670256707500467025670750702567075+46 702567075tlf 702567075+46 70 256 70 75+4670 256 70 75070-256 70 75070-2567075","Bolagsinformation
 Org.nummer: 556495-5127
 Ordförande: Hans Nilsson
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
XYZ-transport Aktiebolag,556496-5241,ALBÄCKSGATAN 41,852 43 Sundsvall,072-218 92 47,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-275 66 59 Xyz-Transport AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-695 90 71 Xyz-Transport AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 072-218 92 47 Xyz-Transport AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 060-57 93 77 Xyz-Transport AB Telia Sverige AB Kontakta oss! Kontakta oss! Fast
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till XYZ-transport Aktiebolag
 +4670275665900467027566590702756659+46 702756659tlf 702756659+46 70 275 66 59+4670 275 66 59070-275 66 59070-2756659+4670695907100467069590710706959071+46 706959071tlf 706959071+46 70 695 90 71+4670 695 90 71070-695 90 71070-6959071+4672218924700467221892470722189247+46 722189247tlf 722189247+46 72 218 92 47+4672 218 92 47072-218 92 47072-2189247","Bolagsinformation
 Org.nummer: 556496-5241
 Styrelseledamot: Fredrik Åslund
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
R Backmans Fastighetsutveckling AB,556498-0752,STORGATAN 12 A,891 64 Örnsköldsvik,072-731 85 75,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-551 85 75 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 0660-185 45 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Fast
 070-681 85 75 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 072-731 85 75 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-531 85 75 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 0660-185 75 R Backmans Fastighetsutveckling AB Telia Sverige AB Kontakta oss! Kontakta oss! Fast
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till R Backmans Fastighetsutveckling AB
 +4670551857500467055185750705518575+46 705518575tlf 705518575+46 70 551 85 75+4670 551 85 75070-551 85 75070-5518575+4666018545004666018545066018545+46 66018545tlf 66018545+46 660 185 45+46660 185 450660-185 450660-18545+4670681857500467068185750706818575+46 706818575tlf 706818575+46 70 681 85 75+4670 681 85 75070-681 85 75070-6818575","Bolagsinformation
 Org.nummer: 556498-0752
 Verkställande direktör: Ragnhild Maria Backman
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Café Charm Aktiebolag,556499-9869,SJÖGATAN 20-23,852 32 Sundsvall,060-740 44 20,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 060-740 44 14 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 11 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 13 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 28 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 24 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 25 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 29 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 20 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 21 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 060-740 44 27 Café Charm AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 Föregående Sida 1 av 4 Nästa
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Café Charm Aktiebolag
 +4660740441400466074044140607404414+46 607404414tlf 607404414+46 60 740 44 14+4660 740 44 14060-740 44 14060-7404414+4660740441100466074044110607404411+46 607404411tlf 607404411+46 60 740 44 11+4660 740 44 11060-740 44 11060-7404411+4660740441300466074044130607404413+46 607404413tlf 607404413+46 60 740 44 13+4660 740 44 13060-740 44 13060-7404413","Bolagsinformation
 Org.nummer: 556499-9869
 Styrelseledamot: Mattias Engström
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
S R P Åkeri i Härnösand Aktiebolag,556501-8073,HJORTRONSTIGEN 41,871 62 Härnösand,070-318 02 40,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-318 02 40 S R P Åkeri i Härnösand AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 070-213 60 30 S R P Åkeri i Härnösand AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil, förbet.
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till S R P Åkeri i Härnösand Aktiebolag
 +4670318024000467031802400703180240+46 703180240tlf 703180240+46 70 318 02 40+4670 318 02 40070-318 02 40070-3180240+4670213603000467021360300702136030+46 702136030tlf 702136030+46 70 213 60 30+4670 213 60 30070-213 60 30070-2136030","Bolagsinformation
 Org.nummer: 556501-8073
 Styrelseledamot: Stig Roland Pettersson
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Jannes Tankservice AB,556506-6668,ARNÄSVÄGEN 62,891 55 Arnäsvall,070-225 18 90,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-225 18 90 Jannes Tankservice AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-516 06 01 Jannes Tankservice AB TeliaSonera AB (mobile) Kontakta oss! Kontakta oss! Mobil
 070-370 60 27 Jannes Tankservice AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Jannes Tankservice AB
 +4670225189000467022518900702251890+46 702251890tlf 702251890+46 70 225 18 90+4670 225 18 90070-225 18 90070-2251890+4670516060100467051606010705160601+46 705160601tlf 705160601+46 70 516 06 01+4670 516 06 01070-516 06 01070-5160601+4670370602700467037060270703706027+46 703706027tlf 703706027+46 70 370 60 27+4670 370 60 27070-370 60 27070-3706027","Bolagsinformation
 Org.nummer: 556506-6668
 Ordförande: Jan Pettersson
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
RF i Sundsvall AB,556508-1626,ÅNGSTRÖMSGATAN 10,871 61 Härnösand,010-171 72 05,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 010-171 72 15 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 07 00 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 11 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 14 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 07 08 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 12 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 19 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 02 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 05 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 010-171 72 08 Rf i Sundsvall AB Tele2 Sverige AB Kontakta oss! Kontakta oss! Fast
 Föregående Sida 1 av 4 Nästa
 Är det ditt företag? Föreslå ändringar
 Nyhet
 Hittar du inget telefonnummer till RF i Sundsvall AB?
 

 RF i Sundsvall AB har 1 annat telefonnummer som du inte trodde fanns. Med tjänsten Nummer+ Plus får du tillgång till alla kända och okända nummer för ett företag eller en person.
 

 Lås upp med Swish och se alla nummer direkt på skärmen
 

 Köp för 39 kr med
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till RF i Sundsvall AB
 +4610171721500461017172150101717215+46 101717215tlf 101717215+46 10 171 72 15+4610 171 72 15010-171 72 15010-1717215+4610171070000461017107000101710700+46 101710700tlf 101710700+46 10 171 07 00+4610 171 07 00010-171 07 00010-1710700+4610171721100461017172110101717211+46 101717211tlf 101717211+46 10 171 72 11+4610 171 72 11010-171 72 11010-1717211","Bolagsinformation
 Org.nummer: 556508-1626
 Styrelseledamot: Raoul Zarar Ibrahim
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
TTS Konsult AB,556511-6562,ÅSEN 138,855 99 Liden,060-58 00 22,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 060-58 00 22 Tts Konsult AB Telia Sverige AB Kontakta oss! Kontakta oss! Fast
 070-651 00 34 Tts Konsult AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till TTS Konsult AB
 +4660580022004660580022060580022+46 60580022tlf 60580022+46 60 58 00 22+4660 58 00 22060-58 00 22060-580022+4670651003400467065100340706510034+46 706510034tlf 706510034+46 70 651 00 34+4670 651 00 34070-651 00 34070-6510034","Bolagsinformation
 Org.nummer: 556511-6562
 Styrelseledamot: Karin Margaretha Carlsson
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
Frisör Urban Svan AB,556512-9474,BERGSGATAN 29,852 43 Sundsvall,070-304 79 50,"Telefonnummer Användare Operatör Senaste portering Tidigare operatör Typ
 070-304 79 50 Frisör Urban Svan AB Telia Sverige AB Kontakta oss! Kontakta oss! Mobil
 Är det ditt företag? Föreslå ändringar
 Info
 

 Information om telefonnummer och mobilnummer hämtas från teleoperatörer. Hittar du inte det nummer du söker, kan just det numret vara dolt för upplysningstjänster.
 

 Andra format av samma telefonnummer till Frisör Urban Svan AB
 +4670304795000467030479500703047950+46 703047950tlf 703047950+46 70 304 79 50+4670 304 79 50070-304 79 50070-3047950","Bolagsinformation
 Org.nummer: 556512-9474
 Styrelseledamot: Urban Svan
 E-post: Lägg till e-post
 Hemsida: Lägg till hemsida"
